Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/11/16, 02:10:37, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:10:47, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:10:57, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:11:07, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:11:18, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:11:28, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:11:37, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:11:47, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:11:57, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:12:06, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:12:16, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:12:26, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:12:36, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:12:46, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:12:56, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:13:05, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:13:15, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:13:25, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:13:34, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:13:43, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:13:54, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:14:04, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:14:14, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:14:24, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:14:34, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
